Body,BugsCrashes,Experience,Hardware,Performance,Pricing,Suggestion,None
"I love having the New Yorker content in an app, but the design of this app tries too hard to be different. Some examples:<br/>1. When I single-tap while in the app, I expect to see the iOS top bar w/ the clock, battery life, etc. Having to exit the app just to check the time is distracting &amp; annoying.<br/>2. Support the &quot;double-tap at the top to scroll up&quot; feature. When I get to the end of an article, I often want to scroll back to the top to see the author's name or the article photo. Having to scroll back up through 51 pages of article kills the thumbs.<br/>3. Why do short articles scroll normally, but long articles scroll in pages? Just let everything scroll normally - the paging feels too short anyway.<br/>4. For articles that page, that center-bottom &quot;Share&quot; menu is such a distraction. Show it only on single-tap - there's no reason to waste screen space displaying it all the time.<br/>5. Support iPhone 5 already!",0,1,1,0,0,1,0
"1. Multiplayer!2. It kills my battery life EXTREMELY fast. Please try to do something about this.Other than that, it's a great game. Reminds me of asteroids, which I love.",0,0,1,0,0,1,0
All this app appears to be good for is eating up your battery life. Constantly crashes and loads forever.,1,0,1,0,0,0,0
I am having issues similar to all previously mentioned complaints. The app loads too slowly and shuts down too frequently. It is not easy to use. It also drains phone battery life quickly!,1,1,1,1,0,0,0
"This app will work if you are addicted to farmville and need to harvest on-the-go. However be prepared to face 5-10 minute load times, a finicky ui, and shortened battery life.",0,0,1,1,0,0,0
"Take your instagram to a whole new level!<br/><br/>Not sure why other users are complaining about paying for a phenomenal all like camera+ -- great developers deserve to be compensated for their work. <br/><br/>Wonderful application with plenty of filters, effects and advance shooting modes for a fairly inexpensive price point. Extremely easy to use.<br/><br/>The 'clarity' mode is the cream of the crop for sharp, saturated, and clear photos (not to be over used thanks!). Each filter unlike many other free and paid filter applications have a simple slider allowing you to control the intensity of the filter.<br/><br/>Tip: For some interesting photos use different filters not at 100% intensity. You'll love the results. <br/><br/>iCloud syncing is a beautiful feature, though I previously thought the photos from the light box disappeared it seemed like the  issue resolved itself. I had over 900 photos in the light box and the sync portion is reliant on the iCloud server, not Camera+ <br/><br/>Tip: make sure syncing &quot;documents and data&quot; using cell data is turned off if you are worried about your data allowance and battery life.",0,1,1,0,1,0,0
"A great port of 2012's best game. A little framey and it eats through battery life, but I wholeheartedly recommend it to anyone who wants to play XCOM on the go or someone who doesn't have a different platform to play on.",0,0,1,0,0,0,0
"The same amazing console game for half the price. No microtransactions, no bs, just an amazing game on the go. Pretty harsh on battery life so make sure your device is charged before you start playing, you'll never want to stop!",0,0,1,0,1,0,0
"Amazing game on console and even better on mobile. Sometimes crashes on iPod 5 and is a little laggy but way better than any other mobile turn based strategy games. I would like to bring to attention that the graphics should be adjustable. I would like it to have stellar console quality graphics that could be lowered to it's current quality to save battery life. Nevertheless, it's an amazing game buy it!",1,0,1,1,0,1,0
"I love strategy games, and this one really does make you feel like you're controlling a squad of soldiers. <br/><br/>If you never played the original, definitely get used to saving often.<br/><br/>The story is pretty decent for an iOS game, and I have no difficulties with the gameplay. <br/><br/>It's important to know what to build, and I wish the tutorial focused a bit more on satellites.<br/><br/>Th Only two major cons are the gigantic size of the game and the fact that its a giant, huge, I mean enormous battery hog. Even in the system tray it takes percentages of battery life in minutes.<br/><br/>You cannot play for any meaningful amount of time off a charger cable.<br/><br/>Or heaven forbid, you forget to kill the game when you're done.<br/><br/>I really appreciate the lack of IAP, especially for the price point, and Lets not forget, we used to pay $30+ for all the old handheld games back in the day. <br/><br/>Battery life is why no 5 star rating. It's important, and any app dev should strive to understand the OS and how to save power.<br/><br/>I understand the scope of the game can be prohibitive, but I play games on<br/>My iPhone because I'm not at home, near a plug.<br/><br/>In closing still a great game, and 2k is a company that understands how to make real fun games, something I can't say for a lot of other companies.",0,1,1,0,1,1,0
