Body,BugsCrashes,Experience,Hardware,Performance,Pricing,Suggestion,None
I love this game I just wish that their were not so many post when you trying to farm.,0,0,0,0,0,1,0
"It may be free to download the app, but it still costs to buy more farm cash. I've had this app for a couple months and love being able to play from my phone. I'm giving such a low rating because when there is a bug with the app, it appears Zynga does nothing at all. Even if the app is free, you guys still have sponsors. Customer service is still a priority (or at least it should be).<br/>I've been having problems all along, now I am going to record them here.<br/>9/16 sync problems<br/>9/18 sync problems<br/>9/21 - app won't load again.<br/>9/22 still won't load. All crops must be lost<br/>9/22 started to run (crops were lost) then stopped opening this evening<br/>9/22 now it opens, but within two minutes it stops syncing with Zynga, so I lose everything I have done and must repeat it<br/>9/29 sync problems returned<br/>10/02 more sync problems - shocking!<br/>10/11 sync problems, yet again<br/>11/11 this is new, but it's been going on for a few days: everytime I open the app, it makes me re-login to FB and then it either crashes or freeze.<br/>11/15 keeps crashing.<br/>1/19/11 Wow! It worked so well for two months, but now it won't sync again. Every time I do something, suddenly it won't sync, and it undoes all my work.<br/>2/20 won't even open<br/>3/17 unwither ring (cost me a lot of real money) does not work<br/>3/18 same as yesterday - I charged $50 to my credit card for that unwither ring<br/>3/19 app won't open<br/>3/20 app won't open<br/>3/21 app won't open<br/>3/30 For over a week, the unwither ring which cost about $50 real money (US currency) has not worked unless I first open the farm on my PC MAKING THE MOBILE APP USELESS. Zynga is impossible to get on touch with and had done nothing to fix this problem.<br/>3/31 unwither ring still not working<br/>4/17 unwither ring has not worked in weeks. Zynga is giving me the run-around. App also won't open today. I am about to quit game altogether.",1,0,0,1,1,0,0
I love games that test your reflexes. This game definitely does that! Really like the timed mode you unlock.,0,0,0,0,0,0,1
I love games like this because they turn out really good,0,0,0,0,0,0,1
I sure do love games that I watch and never ever play...,0,1,0,0,0,0,1
"... But it crashes so much I can't get past 3 words. So happy with the subscription option, just wish I could actually read something before it conks out. Would like to see the possibility to bookmark your place in a future version so it's possible to hop from one article or issue to another... Forced to read so linearly now. <br/><br/>We are rooting for you, conde nast... Please get this one right. Don't need bells and whistles, just want to enjoy my favorite magazine and that great journalism without getting frustrated.",1,0,0,0,0,1,0
"I just wish we could have all the same access to our farms as with a computer. I don't like that we can't access our pubs &amp; open the sheep pens, etc. Overall, the farming is faster!!!",0,0,0,0,0,1,0
"Great app,just wish it was more like playing on my home computer!!",0,0,0,0,0,1,0
"I love games like Temple Run and Subway Surfers, but this takes the cake. Very nostalgic.",0,0,0,0,0,0,1
Got hooked playing Virtual City and finished Paradise Resort. Had so much fun I started on this one and had built a great city. Then the developer issued an update that made the game not load. Several emails and little support later I still have a broken game. Spent real money and feel like an idiot. Hope that nothing happens to your game because you will recieve no support if it does.,1,0,0,0,1,0,0
